# repository=https://github.com/syarukasu/ae2-crafting-optimizer
# synchronized_through_issue=202
# runtime_status: NOT_REQUIRED, VERIFIED, PENDING
issue	kind	loaders	required	automated_evidence	runtime_status	runtime_evidence	summary
28	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/util/StableFingerprintTest.java;src/test/java/com/syaru/ae2craftingoptimizer/api/ExternalBatchRecoveryFixtureTest.java	NOT_REQUIRED	-	Canonical recovery payload fingerprint
29	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/engine/ExactPlanPatternRevalidatorTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/ProgramFingerprintRevalidationCacheTest.java	NOT_REQUIRED	-	Persisted pattern identity recovery
30	REGRESSION	BOTH	RUNTIME	src/test/java/com/syaru/ae2craftingoptimizer/integration/CriticalMixinContractSourceTest.java	PENDING	-	AE2 terminal client crash
32	COMPATIBILITY	FORGE_1_20_1	RUNTIME	.github/workflows/build.yml	PENDING	-	AE2 UELM runtime compatibility
35	RELEASE	NEOFORGE_1_21_1	STATIC	gradle.properties	NOT_REQUIRED	-	NeoForge release alignment
37	COMPATIBILITY	FORGE_1_20_1	STATIC	docs/REGRESSION_HISTORY.md	NOT_REQUIRED	-	Advanced AE 1.3.6 range
39	COMPATIBILITY	BOTH	STATIC	docs/REGRESSION_HISTORY.md	NOT_REQUIRED	-	Advanced AE minor-series policy
42	FEATURE	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/api/contract/IntegrationContractTest.java	NOT_REQUIRED	-	Public BigInteger amount ledger
44	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/engine/OverflowPromotingCraftingPlannerTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/WideArithmeticPreflightTest.java	NOT_REQUIRED	-	Fallback before BigInteger promotion
46	FEATURE	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/api/BigIntegerOwnershipContractTest.java;src/test/java/com/syaru/ae2craftingoptimizer/api/contract/IntegrationContractTest.java	NOT_REQUIRED	-	Complete optional CPU API
51	REGRESSION	BOTH	RUNTIME	src/test/java/com/syaru/ae2craftingoptimizer/integration/CriticalMixinContractSourceTest.java	PENDING	-	Advanced AE accounting mixin exclusion
53	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/api/big/BigCraftingHostRuntimeTest.java	NOT_REQUIRED	-	Accounting shutdown ordering
55	REGRESSION	NEOFORGE_1_21_1	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/optimization/SharedCalculationFutureTest.java	NOT_REQUIRED	-	Shared calculation future cancellation
58	FEATURE	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/optimization/BatchMinimumExecutionPolicyTest.java	NOT_REQUIRED	-	Native batch minimum execution contract
61	REGRESSION	BOTH	GAMETEST	src/test/java/com/syaru/ae2craftingoptimizer/engine/PlanningGuardTest.java	VERIFIED	https://github.com/syarukasu/ae2-crafting-optimizer/issues/61	Normal crafting stale snapshot regression
64	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/api/big/BigCraftingEngineApiPlanInspectionTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/Ae2CraftingPlanSidecarsTest.java	NOT_REQUIRED	-	Wide plan sidecar visibility
71	RELEASE	BOTH	STATIC	gradle.properties	NOT_REQUIRED	-	ACO 1.5.16 release
74	REGRESSION	NEOFORGE_1_21_1	GAMETEST	src/test/java/com/syaru/ae2craftingoptimizer/optimization/SharedCalculationFutureTest.java	PENDING	-	AE2 pattern provider round robin GameTest
75	COMPATIBILITY	FORGE_1_20_1	STATIC	build.gradle	NOT_REQUIRED	-	Neo ECO 20.4 and AAC dependency compatibility
77	RELEASE	NEOFORGE_1_21_1	STATIC	gradle.properties	NOT_REQUIRED	-	NeoForge 1.5.17 release alignment
79	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/engine/Ae2BigCraftingPlanFactoryRootWindowTest.java	NOT_REQUIRED	-	Single root exceeds signed long
84	DOCUMENTATION	BOTH	STATIC	docs/ISSUE_WORKFLOW.md	NOT_REQUIRED	-	Issue-first development workflow
87	DOCUMENTATION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/integration/ClassResponsibilitiesDocumentationTest.java	NOT_REQUIRED	-	Class responsibility map
90	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/engine/ExactPlanPatternRevalidatorTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/ProgramFingerprintRevalidationCacheTest.java	NOT_REQUIRED	-	Unrelated provider generation invalidation
93	REGRESSION	BOTH	RUNTIME	src/test/java/com/syaru/ae2craftingoptimizer/engine/BigKeyCounterSidecarsTest.java	PENDING	-	Java 25 native crash during sidecar copy
98	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/engine/BigCraftingCapacityLedgerTest.java;src/test/java/com/syaru/ae2craftingoptimizer/api/big/BigCraftingEngineApiPlanInspectionTest.java	NOT_REQUIRED	-	External CPU rejects exact capacity
101	FEATURE	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/integration/BigIntegerStorageSnapshotBridgeTest.java	NOT_REQUIRED	-	Public exact storage hook
102	REGRESSION	FORGE_1_20_1	GAMETEST	src/test/java/com/syaru/ae2craftingoptimizer/integration/CriticalMixinContractSourceTest.java;src/test/java/com/syaru/ae2craftingoptimizer/optimization/ProviderPatternGenerationTrackerTest.java	VERIFIED	docs/issues/evidence/ISSUE-102-FORGE-1.20.1.md	Round robin regression and missing API contract
103	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/engine/CompiledRootProgramFailureReasonTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/CompiledRootProgramTest.java	NOT_REQUIRED	-	Compiled graph misdiagnosed as unavailable
109	REGRESSION	BOTH	RUNTIME	src/test/java/com/syaru/ae2craftingoptimizer/engine/Issue109NormalAe2BoundaryTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/Issue109MixinBoundarySourceTest.java	PENDING	-	Normal AE2 inventory and GUI boundary damage
115	FEATURE	BOTH	GAMETEST	src/test/java/com/syaru/ae2craftingoptimizer/integration/Issue115StandardAe2ExactExecutionSourceTest.java	PENDING	-	Standard AE2 exact physical execution
118	REGRESSION	NEOFORGE_1_21_1	GAMETEST	src/test/java/com/syaru/ae2craftingoptimizer/integration/Issues118To120RegressionTest.java	PENDING	-	Exact physical execution self quarantine
119	REGRESSION	NEOFORGE_1_21_1	GAMETEST	src/test/java/com/syaru/ae2craftingoptimizer/integration/Issues118To120RegressionTest.java	PENDING	-	Shutdown exact job NBT loss
120	REGRESSION	NEOFORGE_1_21_1	RUNTIME	src/test/java/com/syaru/ae2craftingoptimizer/integration/Issues118To120RegressionTest.java	PENDING	-	Advanced AE mixin startup self contradiction
123	DOCUMENTATION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/integration/IssueRegressionManifestTest.java	NOT_REQUIRED	-	Machine readable regression release gate
125	REGRESSION	BOTH	GAMETEST	src/test/java/com/syaru/ae2craftingoptimizer/issue125/Issue125RegressionSourceTest.java;src/test/java/com/syaru/ae2craftingoptimizer/optimization/StandardAe2CoprocessorCountResolverTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/OverflowPromotingCraftingPlannerTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/craftingtable/ExactCraftingEscrowTest.java	PENDING	-	Exact physical crafting accepted but remains at zero output
129	ARCHITECTURE	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/optimization/OptimizationFeatureGateTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/Issue129ArchitectureSourceTest.java	NOT_REQUIRED	-	GTNH inspired optimization domains and fail closed ownership gates
140	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/integration/Issue179PlanningBoundarySourceTest.java	NOT_REQUIRED	-	Direct Mekanism reflection path removed, preventing Dedicated Server client-only SoundInstance scans
145	ARCHITECTURE	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/optimization/OptimizationFeatureGateTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/Issue129ArchitectureSourceTest.java	NOT_REQUIRED	-	Issue 129 completion hardening and 1.5.27 release
148	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/integration/TerminalDisplaySnapshotProjectionTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/Issue109MixinBoundarySourceTest.java	NOT_REQUIRED	-	Terminal display saturation without storage or interaction ownership
151	REGRESSION	FORGE_1_20_1	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/issue125/Pr127StableBaselineSourceTest.java;src/test/java/com/syaru/ae2craftingoptimizer/issue125/Issue125RegressionSourceTest.java	NOT_REQUIRED	-	PR 127 exact physical execution baseline preserved while integrating 1.5.25 through 1.5.27
153	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/integration/TerminalDisplaySnapshotProjectionTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/Issue109MixinBoundarySourceTest.java	NOT_REQUIRED	-	Storage monitor display saturation without cached inventory ownership
156	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/engine/WideArithmeticPreflightTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/Ae2AuthoritativeCraftingPlannerPolicyTest.java;src/test/java/com/syaru/ae2craftingoptimizer/config/ACOConfigShadowModePolicyTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/CompiledCraftingGraphTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/PlannerPerformanceProbeTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/Ae2PlanningInventorySnapshotTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/BigIntegerStorageSnapshotBridgeTest.java	NOT_REQUIRED	-	Avoid repeated exact scans and duplicate graph construction; preserve SCC membership, candidate order, root-only warm capture and exact batch inventory sums
161	PERFORMANCE	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/api/batch/v2/PatternBatchV2ApiTest.java;src/test/java/com/syaru/ae2craftingoptimizer/optimization/ExecutionDiagnosticsTest.java;src/test/java/com/syaru/ae2craftingoptimizer/optimization/SequentialInstantDispatcherTest.java;src/test/java/com/syaru/ae2craftingoptimizer/optimization/StandardAe2CoprocessorCountResolverTest.java;src/test/java/com/syaru/ae2craftingoptimizer/optimization/TransactionalV2NoAdapterBypassSourceTest.java	NOT_REQUIRED	-	Bypass impossible V2 scans, recover wide AE2 co-processor counts, and keep expensive execution waves inside measured budgets
164	ARCHITECTURE	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/integration/Issue164CoreBoundarySourceTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/Issue164DiagnosticsSourceTest.java;src/test/java/com/syaru/ae2craftingoptimizer/api/Issue164PublicApiCompatibilityTest.java	NOT_REQUIRED	-	Reduce ACO to planning, exact-count APIs, standard AE2 budgeting, V2 worker contracts, and diagnostics
167	REGRESSION	BOTH	GAMETEST	src/test/java/com/syaru/ae2craftingoptimizer/integration/Issue167PlannerSnapshotBoundaryTest.java;src/test/java/com/syaru/ae2craftingoptimizer/optimization/StorageRevisionTrackerTest.java	PENDING	-	Preserve AE2 candidates and isolate async planning behind immutable revision-bound snapshots
170	REGRESSION	BOTH	RUNTIME	src/test/java/com/syaru/ae2craftingoptimizer/optimization/CraftingCalculationSnapshotContextTest.java	PENDING	-	Missing revision capture must fall back without crashing the AE2 grid tick
176	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/engine/OverflowPromotingCraftingPlannerTest.java	NOT_REQUIRED	-	BigInteger promotion is independent of whether overflow occurs in input, intermediate, output, pattern count, or bytes
179	ARCHITECTURE	BOTH	RUNTIME	src/test/java/com/syaru/ae2craftingoptimizer/integration/Issue179PlanningBoundarySourceTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/Ae2AuthoritativeCraftingPlannerPolicyTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/CraftingCalculationTickHandoffTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/PlanningServerTasksTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/Ae2PlanningInventorySnapshotTest.java;src/test/java/com/syaru/ae2craftingoptimizer/optimization/ProviderPatternGenerationTrackerTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/IngredientSearchCheckpointTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/CalculationIndexReuseTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/CraftingMemoMixinTargetTest.java;src/test/java/com/syaru/ae2craftingoptimizer/integration/TaggedCraftingValidationTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/IndependentByproductPlanningTest.java	PENDING	-	Preserve detached planning and server ownership. Yield between long ingredient searches using AE2 budgets; reuse existing calculation indexes without durability checks. Forge startup verified; supreme circuit planning speed and completion remain pending.
182	REGRESSION	BOTH	RUNTIME	src/test/java/com/syaru/ae2craftingoptimizer/api/big/BigCraftingPhysicalExecutionTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/craftingtable/ExactCraftingEscrowTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/craftingtable/PhysicalPatternAccountingSourceContractTest.java	PENDING	-	Expose the existing receipt-backed physical transaction to external CPUs on both loaders without ACO owning their execution
184	RELEASE	BOTH	STATIC	.github/workflows/build.yml;gradle.properties;docs/issues/RELEASE_SCOPE_2.0.0-rc.1.tsv	NOT_REQUIRED	-	One prerelease with two loader artifacts and explicit runtime limitations
185	FEATURE	BOTH	RUNTIME	src/test/java/com/syaru/ae2craftingoptimizer/engine/ReusableByproductPlanningTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/ReusableByproductAe2OracleTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/Ae2PlanningInventorySnapshotTest.java	PENDING	-	Ordered co-product reuse for acyclic exact single-candidate graphs; compare actual AE2 quantities, reservations, missing materials and bytes. Live industrial orders remain pending.
190	REGRESSION	BOTH	RUNTIME	src/test/java/com/syaru/ae2craftingoptimizer/engine/EmittedCyclePlanningTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/LegacyByproductInventoryTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/ReusableByproductAe2OracleTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/Ae2PlanningInventorySnapshotTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/SharedInputPlanningTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/OrderedBranchingPlannerTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/OrderedBranchingSnapshotTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/Ae2AuthoritativeCraftingPlannerPolicyTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/BranchingInputSemanticsTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/SelectedBranchPhysicalPlanTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/SelectedBranchConsumerContractTest.java;src/test/java/com/syaru/ae2craftingoptimizer/api/big/BigCraftingPhysicalExecutionTest.java;src/test/java/com/syaru/ae2craftingoptimizer/api/big/PhysicalCraftingLifecycleTest.java;src/test/java/com/syaru/ae2craftingoptimizer/api/big/AqeCpuCapacityContractTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/BigExactCraftingByteCounterTest.java	PENDING	-	Ordered trials and input semantics; selected fixed-input acyclic wide branches retain exact steps, boundary and surplus through both physical consumers and NBT. Live completion/cancellation/restart, processing machines and interleaved branches remain pending.
196	RELEASE	BOTH	STATIC	.github/workflows/build.yml;gradle.properties;docs/issues/RELEASE_SCOPE_2.0.0-rc.3.tsv	NOT_REQUIRED	-	Publish both loader artifacts with explicit runtime limitations and matching deployment hashes
199	RELEASE	BOTH	STATIC	.github/workflows/build.yml;gradle.properties;docs/issues/RELEASE_SCOPE_2.0.0-rc.4.tsv;docs/releases/2.0.0-rc.4.md	NOT_REQUIRED	-	Publish current exact-branch and AQE-capacity work as a two-loader prerelease without claiming live acceptance
202	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/engine/LinearWidePlanningTest.java	NOT_REQUIRED	-	Proven unit-output wide shared DAGs preserve exact maps and logical CPU overhead with bounded work; no live performance claim
